,anno,provincia,comune,giorno,organo_di_rilevazione,localizzazione_incidente,denominazione_della_strada,tronco_di_strada_o_autostrada,tipo_di_strada,pavimentazione,intersezione_o_non_interse3,fondo_stradale,segnaletica,condizioni_meteorologiche,natura_incidente,tipo_veicolo_a,tipo_veicoli__b_,tipo_veicolo__c_,veicolo__a____circostanze_10,veicolo__a____circostanze_11,veicolo__b____circostanze_13,veicolo__b____circostanze_14,veicolo__a___anno_immatric18,immatricolazione_veicolo__b_,immatricolazione_veicolo__c_,veicolo__a___et__conducente,veicolo__a___sesso_conducente,veicolo__a___esito_conducente,veicolo__a___patente_condu29,veicolo__a___anno_rilascio30,veicolo__a___passeggeri_an35,veicolo__a___et__passegger36,veicolo__a___sesso_passegg37,veicolo__a___esito_passegg38,veicolo__a___et__passegger39,veicolo__a___sesso_passegg40,veicolo__a___esito_passegg41,veicolo__a___et__passegger42,veicolo__a___sesso_passegg43,veicolo__a___esito_passegg44,veicolo__a___et__passegger45,veicolo__a___sesso_passegg46,veicolo__a___altri_passegg47,veicolo__a___altri_passegg48,veicolo__a___altri_passegg49,veicolo__a___altri_passegg50,veicolo__b___et__conducente,veicolo__b___sesso_conducente,veicolo__b___esito_conducente,veicolo__b___patente_condu51,veicolo__b___anno_rilascio52,veicolo__b___passeggeri_an57,veicolo__b___et__passegger58,veicolo__b___sesso_passegg59,veicolo__b___esito_passegg60,veicolo__b___et__passegger61,veicolo__b___sesso_passegg62,veicolo__b___esito_passegg63,veicolo__b___et__passegger64,veicolo__b___sesso_passegg65,veicolo__b___esito_passegg66,veicolo__b___et__passegger67,veicolo__b___sesso_passegg68,veicolo__b___altri_passegg69,veicolo__b___altri_passegg70,veicolo__b___altri_passegg71,veicolo__b___altri_passegg72,veicolo__c___et__conducente,veicolo__c___sesso_conducente,veicolo__c___esito_conducente,veicolo__c___patente_condu73,veicolo__c___anno_rilascio74,veicolo__c___passeggeri_an79,veicolo__c___et__passegger80,veicolo__c___sesso_passegg81,veicolo__c___esito_passegg82,veicolo__c___et__passegger83,veicolo__c___sesso_passegg84,veicolo__c___esito_passegg85,veicolo__c___et__passegger86,veicolo__c___sesso_passegg87,veicolo__c___esito_passegg88,veicolo__c___et__passegger89,veicolo__c___sesso_passegg90,veicolo__c___altri_passegg91,veicolo__c___altri_passegg92,veicolo__c___altri_passegg93,veicolo__c___altri_passegg94,pedone_morto_1__sesso,pedone_morto_1__et_,pedone_ferito_1__sesso,pedone_ferito_1__et_,pedone_morto_2__sesso,pedone_morto_2__et_,pedone_ferito_2__sesso,pedone_ferito_2__et_,pedone_morto_3__sesso,pedone_morto_3__et_,pedone_ferito_3__sesso,pedone_ferito_3__et_,pedone_morto_4__sesso,pedone_morto_4__et_,pedone_ferito_4__sesso,pedone_ferito_4__et_,altri_veicoli_coinvolti,morti_maschi_coinvolti_su_95,morti_femmine_coinvolti_su96,feriti_maschi_coinvolti_su97,feriti_femmine_coinvolti_s98,morti_entro_24_ore,morti_entro_30_giorni,feriti,descrizione_strada,Ora,chilometri,ettometrica,trimestre
105883,16,15,146,2,4,1,   ,12,4,1,4,1,4,1,10,16,  ,  ,70,  ,73,  ,2007       ,           ,           ,18-29,2,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,largo Ascari incrocio viale Liguria                      ,12,0,0,1
105884,16,15,146,2,4,1,   ,12,2,1,7,1,4,1,4,1,01,  ,22,  ,20,  ,"(2001,2006]",           ,           ,30-44,1,1,2,"(2011,2016]",2,18-29,4, ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,1,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Rombon, 48                                           ",18,0,0,1
105885,16,15,146,5,4,1,   ,12,1,1,4,1,4,1,10,16,  ,  ,00,  ,00,  ,2010       ,           ,           ,55-64,1,2,3,"(1981,1986]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Argonne incrocio via Illirico                      ,15,0,0,1
105886,16,15,146,7,4,1,   ,12,2,1,4,2,4,3,2,1,03,  ,01,  ,08,  ,"(2001,2006]",2015       ,           ,30-44,1,2,2,"(2006,2011]",2,30-44,4,2,15-17,4,2,10-14,3, ,     , ,0,0,0,0,30-44,1,1,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,4,piazza della Resistenza Partigiana incrocio corso Genova ,1,0,0,1
105887,16,15,146,1,4,1,   ,12,1,1,7,2,4,3,3,1,16,  ,23,  ,20,  ,2008       ,2009       ,           ,30-44,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,2,2,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Orazio, 2                                            ",9,0,0,1
105888,16,15,146,2,4,1,   ,12,1,1,3,2,4,1,4,1,01,  ,11,  ,01,  ,2013       ,2013       ,           ,18-29,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,2,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Omero incrocio piazzale Rosa Gabriele              ,10,0,0,1
105889,16,15,146,2,4,1,   ,12,2,1,3,2,4,1,4,14,16,  ,00,  ,00,  ,           ,2007       ,           ,45-54,2,2,7,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,65+  ,1,2,2,"(2011,2016]", ,     , ,2,55-64,4, ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,3,via Procaccini incrocio via Bertini Giovan Battista      ,11,0,0,1
105890,16,15,146,2,4,1,   ,12,2,1,7,1,4,1,5,16,  ,  ,40,  ,55,  ,2009       ,           ,           ,30-44,1,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,55-64, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,"via Farini Carlo, 75                                     ",13,0,0,1
105891,16,15,146,2,4,1,   ,12,4,1,4,1,4,1,2,3,01,  ,04,  ,01,  ,2014       ,"(2001,2006]",           ,30-44,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Troya Carlo incrocio piazza Napoli                 ,14,0,0,1
105892,16,15,146,2,4,1,   ,12,1,1,8,1,4,1,5,1,  ,  ,49,  ,53,  ,           ,           ,           ,30-44,1,1,9,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,65+  , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"piazza Caneva Carlo, 3                                   ",15,0,0,1
105893,16,15,146,2,4,1,   ,12,2,1,4,1,4,1,2,16,01,  ,01,  ,06,  ,2009       ,2011       ,           ,55-64,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,2,4,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,via Colleoni Bartolomeo incrocio via Gattamelata Giovanni,15,0,0,1
105894,16,15,146,2,4,1,   ,12,4,1,3,1,4,1,2,1,01,  ,06,  ,01,  ,2011       ,2012       ,           ,45-54,2,2,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,2,3,"(1991,1996]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,via dei Gigli incrocio via Cascina Corba                 ,17,0,0,1
105895,16,15,146,2,4,1,   ,12,4,1,3,1,4,1,2,15,01,  ,01,  ,02,  ,"(2001,2006]",           ,           ,18-29,2,2,5,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,viale Bodio Luigi incrocio via Calabria                  ,19,0,0,1
105896,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,2,8,01,  ,00,  ,00,  ,"(1986,1991]",2010       ,           ,55-64,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,2,2,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,"via della Chiesa Rossa, 83                               ",9,0,0,1
105897,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,4,1,01,  ,22,  ,20,  ,"(2001,2006]",2011       ,           ,30-44,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Zoja Luigi, 17                                       ",9,0,0,1
105898,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,3,1,01,  ,00,  ,00,  ,2009       ,           ,           ,65+  ,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,2,3,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Solari Andrea, 40                                    ",10,0,0,1
105899,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,6,14,01,  ,60,  ,62,  ,           ,2008       ,           ,45-54,2,2,7,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,2,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Pucci Marcello, 6                                    ",10,0,0,1
105900,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,5,1,  ,  ,45,  ,40,  ,2007       ,           ,           ,55-64,1,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,30-44, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"ripa di Porta Ticinese, 63 A                             ",12,0,0,1
105901,16,15,146,3,4,1,   ,12,3,1,4,1,4,1,2,1,01,  ,05,  ,01,  ,2012       ,2010       ,           ,55-64,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Bellotti Felice incrocio viale Piave                 ,12,0,0,1
105961,16,15,146,5,4,1,   ,12,3,1,1,1,4,1,5,1,  ,  ,49,  ,51,  ,2012       ,           ,           ,45-54,1,1,2,"(2001,2006]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,45-54, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,Via San Gregorio incrocio corso Buenos Aires             ,9,0,0,1
105962,16,15,146,5,4,1,   ,12,1,1,8,1,4,1,10,16,  ,  ,70,  ,73,  ,2014       ,           ,           ,18-29,2,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"piazzale Susa, 15                                        ",10,0,0,1
105963,16,15,146,5,4,1,   ,12,2,1,7,1,4,1,4,1,16,  ,21,  ,20,  ,2014       ,2009       ,           ,45-54,1,1,2,"(1981,1986]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"piazzale Medaglie d'Oro, 2                               ",14,0,0,1
105964,16,15,146,5,4,1,   ,12,2,1,7,1,4,1,2,16,01,  ,23,  ,36,  ,2012       ,2008       ,           ,45-54,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,30-44,1,1,2,"(1991,1996]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via De Angeli Carlo, palo luce 7                         ",21,0,0,1
105965,16,15,146,6,4,1,   ,12,4,1,7,2,1,3,8,1,  ,  ,65,  ,65,  ,2013       ,           ,           ,30-44,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Palmanova, palo luce 101                             ",4,0,0,1
105966,16,15,146,1,4,1,   ,12,3,1,8,2,4,1,8,1,  ,  ,61,  ,65,  ,           ,           ,           ,18-29,2,2,2,"(2011,2016]", ,     , ,2,18-29,3,2,18-29,3, ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,3,"viale Elvezia, palo luce 11 3                            ",2,0,0,1
105967,16,15,146,2,4,1,   ,12,2,1,7,1,4,1,10,15,  ,  ,71,  ,70,  ,2012       ,           ,           ,30-44,2,2,2,"(2001,2006]", ,     , ,2,30-44,4, ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,"via Procaccini, 36                                       ",18,0,0,1
106047,16,15,146,3,4,1,   ,12,3,1,3,1,4,1,5,1,  ,  ,49,  ,53,  ,"(1991,1996]",           ,           ,65+  ,2,1,2,(<=1976]   , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,45-54, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,largo Giambellino incrocio via Giambellino               ,13,0,0,1
106048,16,15,146,4,4,1,   ,12,2,1,7,1,4,1,5,16,  ,  ,40,  ,52,  ,2009       ,           ,           ,65+  ,1,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,15-17, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,"via De Marchi Emilio, palo luce 46                       ",20,0,0,1
106049,16,15,146,5,4,1,   ,12,1,1,7,2,4,1,5,1,  ,  ,40,  ,50,  ,2013       ,           ,           ,45-54,1,1,2,"(1986,1991]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,10-14, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Arena, 13                                            ",9,0,0,2
106050,16,15,146,5,4,1,   ,12,1,1,7,1,4,1,5,1,  ,  ,49,  ,53,  ,2011       ,           ,           ,55-64,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,65+  , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Morgagni Giovan Battista, palo luce 30               ",13,0,0,2
106051,16,15,146,5,4,1,   ,12,2,1,4,1,4,1,6,16,16,  ,00,  ,00,  ,"(2001,2006]","(2001,2006]",           ,30-44,1,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,1,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Buonarroti Michelangelo incrocio via Giotto          ,15,0,0,2
106052,16,15,146,5,4,1,   ,12,1,1,7,1,4,1,6,7,01,  ,60,  ,62,  ,           ,"(2001,2006]",           ,30-44,1,1,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Lodovico il Moro, palo luce 55                       ",15,0,0,2
106053,16,15,146,5,4,1,   ,12,3,1,4,1,4,1,5,16,  ,  ,40,  ,44,  ,2015       ,           ,           ,30-44,1,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,30-44, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Ponte Seveso incrocio via Tonale                     ,17,0,0,2
106054,16,15,146,7,4,1,   ,12,1,1,4,1,4,1,2,17,01,  ,04,  ,01,  ,2011       ,2009       ,           ,18-29,1,2,2,"(2001,2006]", ,     , ,2,18-29,4, ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,2,viale Coni Zugna incrocio via Modestino                  ,2,0,0,2
106055,16,15,146,7,4,1,   ,12,2,1,4,1,4,1,2,4,01,  ,01,  ,05,  ,2011       ,"(2001,2006]",           ,30-44,1,2,9,           , ,     , ,2,18-29,3,2,18-29,3, ,     , ,0,0,0,0,30-44,1,1,2,"(2006,2011]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,3,piazza S.Maria del Suffragio incrocio corso Ventidue Marz,23,0,0,2
106056,16,15,146,1,4,1,   ,12,4,1,7,1,4,1,2,16,01,  ,35,  ,20,  ,2016       ,"(2001,2006]",           ,55-64,1,2,2,"(1976,1981]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,65+  ,1,1,2,(<=1976]   , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Mecenate, 86                                         ",9,0,0,2
106057,16,15,146,1,4,1,   ,12,4,1,7,1,3,1,5,7,  ,  ,40,  ,55,  ,           ,           ,           ,30-44,1,1,2,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,18-29, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,piazza Duca D'Aosta in prossimita palo reggifilo 5850    ,12,0,0,2
106058,16,15,146,1,4,1,   ,12,4,1,3,1,4,1,5,1,  ,  ,49,  ,51,  ,2007       ,           ,           ,65+  ,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,45-54, ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,piazzale Siena incrocio viale Pisa                       ,15,0,0,2
106059,16,15,146,1,4,1,   ,12,2,1,3,1,4,1,5,1,  ,  ,49,  ,53,  ,2007       ,           ,           ,45-54,1,1,3,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,4,65+  , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,piazza Carnelli Piero Monsignore incrocio via Meleri Gere,18,0,0,2
106060,16,15,146,2,4,1,   ,12,4,1,7,1,4,1,5,1,  ,  ,40,  ,55,  ,           ,           ,           ,18-29,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,65+  , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Novara, 160                                          ",10,0,0,2
106061,16,15,146,3,4,1,   ,12,4,1,3,1,4,1,2,1,18,  ,06,  ,01,  ,2014       ,           ,           ,30-44,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,55-64,1,2,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Varsavia incrocio via Monte Cimone                   ,8,0,0,2
106062,16,15,146,3,4,1,   ,12,2,1,7,1,4,1,2,17,01,  ,20,  ,36,  ,           ,2008       ,           ,45-54,1,1,2,"(1991,1996]", ,     , ,2,30-44,4, ,     , , ,     , ,0,0,0,0,18-29,1,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,"via Imbonati Carlo, 25                                   ",23,0,0,2
106063,16,15,146,4,4,1,   ,12,3,1,4,1,4,1,3,8,14,  ,04,  ,01,  ,2010       ,           ,           ,30-44,2,1,2,"(2011,2016]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,45-54,1,2,7,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Bolzano incrocio via Giacosa Giuseppe                ,7,0,0,2
106064,16,15,146,4,4,1,   ,12,2,1,2,1,4,1,5,1,  ,  ,49,  ,53,  ,"(1991,1996]",           ,           ,30-44,1,1,2,"(1996,2001]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     ,3,65+  , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,via Carabelli Rodolfo incrocio piazza Salgari Emilio     ,11,0,0,2
106065,16,15,146,4,4,1,   ,12,3,1,8,1,4,1,2,1,14,  ,23,  ,20,  ,2009       ,           ,           ,55-64,2,1,2,"(1981,1986]", ,     , , ,     , , ,     , , ,     , ,0,0,0,0,18-29,1,2,7,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0,     , , , ,           , ,     , , ,     , , ,     , , ,     , ,0,0,0,0, ,     , ,     , ,     , ,     , ,     , ,     , ,     , ,     ,0,0,0,0,0,0,0,1,piazzale Giovanni dalle Bande Nere in prossimita viale Le,16,0,0,2
